"airline_iata","airline_icao","flight_iata","flight_icao","flight_number","dep_iata","dep_icao","dep_terminal","dep_time","arr_iata","arr_icao","duration"
"AC","ACA","AC480","ACA480","480","YYZ","CYYZ","1","2023-06-06 06:20","YUL","CYUL",77
"UA","UAL","UA565","UAL565","565","YYZ","CYYZ","1","2023-06-06 06:30","SFO","KSFO",332
"WG","SWG","WG4362","SWG4362","4362","YYZ","CYYZ","3","2023-06-06 06:20","PUJ","MDPC",260
"WG","SWG","WG535","SWG535","535","YYZ","CYYZ","3","2023-06-06 07:55","CUN","MMUN",245
"RV","ROU","RV1670","ROU1670","1670","YYZ","CYYZ","1","2023-06-06 06:30","MCO","KMCO",165
"QK","JZA","QK8901","JZA8901","8901","YYZ","CYYZ","1","2023-06-06 06:30","ORD","KORD",110
"WS","WJA","WS653","WJA653","653","YYZ","CYYZ","3","2023-06-06 06:30","YYC","CYYC",253
"AA","AAL","AA6225","AAL6225","6225","YYZ","CYYZ","3","2023-06-06 06:33","ORD","KORD",113
"AC","ACA","AC8872","ACA8872","8872","YYZ","CYYZ","1","2023-06-06 06:30","EWR","KEWR",90
"F8","FLE","F8635","FLE635","635","YYZ","CYYZ","3","2023-06-06 06:20","YEG","CYEG",255
"F8","FLE","F8643","FLE643","643","YYZ","CYYZ","3","2023-06-06 06:30","YWG","CYWG",160
"WO","WSW","WO360","WSW360","360","YYZ","CYYZ","3","2023-06-06 06:40","YHZ","CYHZ",125
"TP","TAP","TP8289","TAP8289","8289","YYZ","CYYZ","1","2023-06-06 06:20","YHZ","CYHZ",125
"DL","DAL","DL5013","DAL5013","5013","YYZ","CYYZ","3","2023-06-06 06:47","LGA","KLGA",103
"TS","TSC","TS326","TSC326","326","YYZ","CYYZ","3","2023-06-06 07:00","CUN","MMUN",245
"F8","FLE","F8658","FLE658","658","YYZ","CYYZ","3","2023-06-06 06:55","YHZ","CYHZ",135
"NZ","ANZ","NZ9987","ANZ9987","9987","YYZ","CYYZ","1","2023-06-06 06:10","IAH","KIAH",204
"AC","ACA","AC440","ACA440","440","YYZ","CYYZ","1","2023-06-06 07:00","YOW","CYOW",63
"YX","RPA","YX4357","RPA4357","4357","YYZ","CYYZ","3","2023-06-06 07:01","JFK","KJFK",111
"AC","ACA","AC602","ACA602","602","YYZ","CYYZ","1","2023-06-06 07:00","YHZ","CYHZ",125
"AC","ACA","AC400","ACA400","400","YYZ","CYYZ","1","2023-06-06 07:00","YUL","CYUL",77
"EI","EIN","EI6430","EIN6430","6430","YYZ","CYYZ","1","2023-06-06 07:00","ORD","KORD",115
"F8","FLE","F8601","FLE601","601","YYZ","CYYZ","3","2023-06-06 06:55","YVR","CYVR",310
"AS","ASA","AS6848","ASA6848","6848","YYZ","CYYZ","3","2023-06-06 07:10","DFW","KDFW",204
"QK","JZA","QK8251","JZA8251","8251","YYZ","CYYZ","1","2023-06-06 07:15","YXU","CYXU",43
"B6","JBU","B64785","JBU4785","4785","YYZ","CYYZ","3","2023-06-06 06:51","LGA","KLGA",92
"F8","FLE","F81625","FLE1625","1625","YYZ","CYYZ","3","2023-06-06 07:20","BNA","KBNA",130
"AC","ACA","AC183","ACA183","183","YYZ","CYYZ","1","2023-06-06 07:15","YVR","CYVR",311
"PT","PDT","PT6117","PDT6117","6117","YYZ","CYYZ","3","2023-06-06 07:30","PHL","KPHL",92
"UA","UAL","UA8552","UAL8552","8552","YYZ","CYYZ","1","2023-06-06 07:20","DCA","KDCA",91
"CA","CCA","CA7466","CCA7466","7466","YYZ","CYYZ","1","2023-06-06 07:10","YVR","CYVR",290
"DL","DAL","DL7182","DAL7182","7182","YYZ","CYYZ","3","2023-06-06 07:30","MCO","KMCO",164
"YX","RPA","YX3435","RPA3435","3435","YYZ","CYYZ","1","2023-06-06 07:30","EWR","KEWR",103
"PD","POE","PD303","POE303","303","YYZ","CYYZ","3","2023-06-06 07:35","YVR","CYVR",306
"WS","WJA","WS2754","WJA2754","2754","YYZ","CYYZ","3","2023-06-06 07:35","NAS","MYNN",196
"UA","UAL","UA8633","UAL8633","8633","YYZ","CYYZ","1","2023-06-06 07:30","YWG","CYWG",160
"UA","UAL","UA8528","UAL8528","8528","YYZ","CYYZ","1","2023-06-06 07:40","BOS","KBOS",91
"PD","POE","PD111","POE111","111","YYZ","CYYZ","3","2023-06-06 07:40","YUL","CYUL",76
"PD","POE","PD2291","POE2291","2291","YYZ","CYYZ","3","2023-06-06 07:45","YOW","CYOW",63
"TP","TAP","TP8253","TAP8253","8253","YYZ","CYYZ","1","2023-06-06 07:30","YYC","CYYC",258
"SQ","SIA","SQ1007","SIA1007","1007","YYZ","CYYZ","1","2023-06-06 07:50","LAX","KLAX",314
"KE","KAL","KE3795","KAL3795","3795","YYZ","CYYZ","3","2023-06-06 07:45","ATL","KATL",134
"UA","UAL","UA8542","UAL8542","8542","YYZ","CYYZ","1","2023-06-06 07:55","LGA","KLGA",95
"AM","AMX","AM7131","AMX7131","7131","YYZ","CYYZ","3","2023-06-06 07:55","YYC","CYYC",253
"Y9","DAT","Y9112","DAT112","112","YYZ","CYYZ","1","2023-06-06 07:55","YVR","CYVR",320
"DL","DAL","DL7002","DAL7002","7002","YYZ","CYYZ","3","2023-06-06 07:55","RSW","KRSW",180
"RV","ROU","RV1838","ROU1838","1838","YYZ","CYYZ","1","2023-06-06 07:55","PLS","MBPV",230
"F8","FLE","F8684","FLE684","684","YYZ","CYYZ","3","2023-06-06 07:35","YSJ","CYSJ",125
"AC","ACA","AC4902","ACA4902","4902","YYZ","CYYZ","1","2023-06-06 07:59","DEN","KDEN",221
"AC","ACA","AC1093","ACA1093","1093","YYZ","CYYZ","1","2023-06-06 08:00","SAN","KSAN",320
"AC","ACA","AC1921","ACA1921","1921","YYZ","CYYZ","1","2023-06-06 08:00","YQR","CYQR",199
"RV","ROU","RV1950","ROU1950","1950","YYZ","CYYZ","1","2023-06-06 08:00","YQB","CYQB",83
"SQ","SIA","SQ1009","SIA1009","1009","YYZ","CYYZ","1","2023-06-06 08:00","SFO","KSFO",320
"RV","ROU","RV1804","ROU1804","1804","YYZ","CYYZ","1","2023-06-06 08:00","MBJ","MKJS",235
"RV","ROU","RV1810","ROU1810","1810","YYZ","CYYZ","1","2023-06-06 07:50","CUN","MMUN",235
"AC","ACA","AC402","ACA402","402","YYZ","CYYZ","1","2023-06-06 08:00","YUL","CYUL",77
"TK","THY","TK8658","THY8658","8658","YYZ","CYYZ","1","2023-06-06 08:00","DFW","KDFW",197
"AC","ACA","AC135","ACA135","135","YYZ","CYYZ","1","2023-06-06 08:05","YYC","CYYC",258
"WS","WJA","WS2424","WJA2424","2424","YYZ","CYYZ","3","2023-06-06 08:05","CUN","MMUN",250
"AC","ACA","AC8949","ACA8949","8949","YYZ","CYYZ","1","2023-06-06 07:50","ATL","KATL",130
"AC","ACA","AC103","ACA103","103","YYZ","CYYZ","1","2023-06-06 08:10","YVR","CYVR",290
"AC","ACA","AC442","ACA442","442","YYZ","CYYZ","1","2023-06-06 08:10","YOW","CYOW",63
"AC","ACA","AC8301","ACA8301","8301","YYZ","CYYZ","1","2023-06-06 07:50","YQT","CYQT",107
"QK","JZA","QK8494","JZA8494","8494","YYZ","CYYZ","1","2023-06-06 07:55","YSJ","CYSJ",114
"AC","ACA","AC1654","ACA1654","1654","YYZ","CYYZ","1","2023-06-06 08:15","TPA","KTPA",166
"AC","ACA","AC8427","ACA8427","8427","YYZ","CYYZ","1","2023-06-06 08:00","YTS","CYTS",87
"UA","UAL","UA8284","UAL8284","8284","YYZ","CYYZ","1","2023-06-06 08:00","RDU","KRDU",105
"UA","UAL","UA8533","UAL8533","8533","YYZ","CYYZ","1","2023-06-06 08:00","ORD","KORD",110
"UA","UAL","UA8515","UAL8515","8515","YYZ","CYYZ","1","2023-06-06 08:05","IND","KIND",92
"UA","UAL","UA8143","UAL8143","8143","YYZ","CYYZ","1","2023-06-06 08:20","BWI","KBWI",83
"RV","ROU","RV1500","ROU1500","1500","YYZ","CYYZ","1","2023-06-06 08:20","YQM","CYQM",112
"AC","ACA","AC604","ACA604","604","YYZ","CYYZ","1","2023-06-06 08:25","YHZ","CYHZ",125
